"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "Markdown", "Astro", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\README.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 14, 49
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\astro.config.mjs", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 7, 25
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\auth.config.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7925, 0, 1, 7926
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 44, 10, 80
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\assets\astro.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\assets\background.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\UI\filtro.astro", "Astro", 0, 0, 0, 0, 96, 0, 0, 0, 1, 5, 102
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\UI\filtrotelefono.astro", "Astro", 0, 0, 0, 0, 120, 0, 0, 0, 0, 8, 128
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\UI\navbar.astro", "Astro", 0, 0, 0, 0, 165, 0, 0, 0, 5, 10, 180
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\UI\sidebar.astro", "Astro", 0, 0, 0, 0, 84, 0, 0, 0, 2, 9, 95
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\gestionAgendamiento.astro", "Astro", 0, 0, 0, 0, 81, 0, 0, 0, 0, 4, 85
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\gestionPacientes.astro", "Astro", 0, 0, 0, 0, 1070, 0, 0, 0, 0, 73, 1143
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\gestionProductos.astro", "Astro", 0, 0, 0, 0, 828, 0, 0, 0, 0, 81, 909
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\gestionUsuarios.astro", "Astro", 0, 0, 0, 0, 807, 0, 0, 0, 25, 82, 914
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\nuestrasOpticas.astro", "Astro", 0, 0, 0, 0, 145, 0, 0, 0, 6, 16, 167
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\components\ventaProductos.astro", "Astro", 0, 0, 0, 0, 58, 0, 0, 0, 1, 5, 64
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\connect.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 1, 7, 28
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\connect2.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 27
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\repositorios\protegerRutas.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 8, 41
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\repositorios\repositorioCompras.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\repositorios\repositorioPacientes.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 12, 104
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\repositorios\repositorioProductos.ts", "TypeScript", 0, 0, 0, 0, 0, 98, 0, 0, 2, 14, 114
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\db\repositorios\repositorioRoles.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
